Molecule,Group,Conformer,Atom_Index,F_Isotropic_ppm,F_Anisotropy_ppm
32,Group2_80-20,conf_20,11,318.121,120.449
32,Group2_80-20,conf_20,13,267.632,83.015
32,Group2_80-20,conf_21,5,294.755,132.446
32,Group2_80-20,conf_21,11,320.711,128.059
32,Group2_80-20,conf_21,13,267.474,83.148
32,Group2_80-20,conf_22,5,294.682,139.772
32,Group2_80-20,conf_22,11,320.345,129.1
32,Group2_80-20,conf_22,13,267.888,83.226
32,Group2_80-20,conf_23,5,294.774,139.542
32,Group2_80-20,conf_23,11,320.388,128.935
32,Group2_80-20,conf_23,13,267.895,83.215
32,Group2_80-20,conf_24,5,294.748,132.545
32,Group2_80-20,conf_24,11,320.683,128.087
32,Group2_80-20,conf_24,13,267.443,83.052
32,Group2_80-20,conf_25,5,294.565,132.754
32,Group2_80-20,conf_25,11,320.616,127.985
32,Group2_80-20,conf_25,13,267.377,83.096
32,Group2_80-20,conf_27,5,294.841,133.864
32,Group2_80-20,conf_27,11,320.884,127.613
32,Group2_80-20,conf_27,13,267.797,82.659
32,Group2_80-20,conf_28,5,294.88,133.751
32,Group2_80-20,conf_28,11,320.892,127.761
32,Group2_80-20,conf_28,13,267.867,82.673
32,Group3_60-40,conf_01,5,294.77,135.206
32,Group3_60-40,conf_01,11,320.069,129.387
32,Group3_60-40,conf_01,13,267.462,83.747
32,Group3_60-40,conf_02,5,294.716,133.763
32,Group3_60-40,conf_02,11,320.185,128.813
32,Group3_60-40,conf_02,13,267.512,83.672
32,Group3_60-40,conf_03,5,295.197,131.366
32,Group3_60-40,conf_03,11,320.497,128.437
32,Group3_60-40,conf_03,13,267.998,83.19
32,Group3_60-40,conf_04,5,294.673,139.612
32,Group3_60-40,conf_04,11,320.365,129.054
32,Group3_60-40,conf_04,13,267.863,83.243
32,Group3_60-40,conf_05,5,294.709,139.39
32,Group3_60-40,conf_05,11,320.402,128.973
32,Group3_60-40,conf_05,13,267.87,83.22
32,Group3_60-40,conf_06,5,295.206,131.353
32,Group3_60-40,conf_06,11,320.483,128.412
32,Group3_60-40,conf_06,13,268.005,83.232
32,Group3_60-40,conf_07,5,294.696,139.43
32,Group3_60-40,conf_07,11,320.364,129.024
32,Group3_60-40,conf_07,13,267.896,83.199
32,Group3_60-40,conf_08,5,295.19,131.427
32,Group3_60-40,conf_08,11,320.469,128.479
32,Group3_60-40,conf_08,13,267.979,83.131
32,Group3_60-40,conf_09,5,292.498,124.826
32,Group3_60-40,conf_09,11,321.136,128.742
32,Group3_60-40,conf_09,13,268.464,82.838
32,Group3_60-40,conf_10,5,292.317,128.296
32,Group3_60-40,conf_10,11,320.995,129.111
32,Group3_60-40,conf_10,13,268.351,82.953
32,Group3_60-40,conf_11,5,295.181,131.47
32,Group3_60-40,conf_11,11,320.486,128.488
32,Group3_60-40,conf_11,13,267.972,83.121
32,Group3_60-40,conf_12,5,295.097,131.211
32,Group3_60-40,conf_12,11,320.327,128.726
32,Group3_60-40,conf_12,13,267.987,83.188
32,Group3_60-40,conf_13,5,295.17,131.514
32,Group3_60-40,conf_13,11,320.434,128.548
32,Group3_60-40,conf_13,13,267.978,83.124
32,Group3_60-40,conf_14,5,295.156,131.507
32,Group3_60-40,conf_14,11,320.424,128.597
32,Group3_60-40,conf_14,13,267.978,83.131
32,Group3_60-40,conf_15,5,294.666,139.547
32,Group3_60-40,conf_15,11,320.287,129.079
32,Group3_60-40,conf_15,13,267.861,83.234
32,Group3_60-40,conf_16,5,294.644,139.629
32,Group3_60-40,conf_16,11,320.219,129.183
32,Group3_60-40,conf_16,13,267.857,83.22
32,Group3_60-40,conf_17,5,296.191,131.114
