Exp_Compound,Comp_Model,Reporter,Atoms_Tracked,GLS_Type,Group,Epsilon,Conformer,Gibbs_Hartree,DeltaG_kcal_mol,Boltzmann_Weight,F_Shielding_ppm,Sigma_avg_ppm
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_19,-1499.37095503,0.535127,0.01916919,296.167,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_20,-1499.37103010,0.488020,0.02075551,295.634,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_21,-1499.37143305,0.235165,0.03180367,294.759,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_22,-1499.37171932,0.055528,0.04306775,294.671,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_23,-1499.37175231,0.034827,0.04459914,294.733,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_24,-1499.37146355,0.216026,0.03284780,294.751,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_25,-1499.37144658,0.226675,0.03226270,294.572,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_27,-1499.37149054,0.199090,0.03380032,294.829,294.841342
22,32,F-3,[5],aromatic,Group3_60-40,60.06,conf_28,-1499.37135688,0.282963,0.02933875,294.868,294.841342
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_01,-1499.37169020,0.052115,0.04328929,294.765,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_02,-1499.37167550,0.061339,0.04262054,294.720,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_03,-1499.37165547,0.073908,0.04172590,295.180,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_04,-1499.37176925,0.002510,0.04706964,294.658,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_05,-1499.37177325,0.000000,0.04726947,294.693,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_06,-1499.37167752,0.060071,0.04271182,295.188,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_07,-1499.37167633,0.060818,0.04265802,294.680,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_08,-1499.37167590,0.061088,0.04263860,295.173,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_09,-1499.37091123,0.540925,0.01897054,292.501,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_10,-1499.37089462,0.551348,0.01863973,292.320,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_11,-1499.37167354,0.062569,0.04253215,295.164,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_12,-1499.37168189,0.057329,0.04290996,295.079,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_13,-1499.37167894,0.059180,0.04277610,295.152,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_14,-1499.37168230,0.057072,0.04292860,295.139,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_15,-1499.37174884,0.015317,0.04606307,294.651,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_16,-1499.37173059,0.026770,0.04518128,294.628,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_17,-1499.37100003,0.485203,0.02084130,296.177,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_18,-1499.37165416,0.074730,0.04166805,294.708,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_19,-1499.37092182,0.534280,0.01918451,296.149,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_20,-1499.37099585,0.487825,0.02074924,295.617,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_21,-1499.37139907,0.234801,0.03180315,294.763,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_22,-1499.37168515,0.055284,0.04305837,294.655,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_23,-1499.37171604,0.035900,0.04449037,294.744,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_24,-1499.37142933,0.215813,0.03283891,294.756,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_25,-1499.37141244,0.226412,0.03225670,294.577,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_27,-1499.37145611,0.199008,0.03378366,294.812,294.830185
22,32,F-3,[5],aromatic,Group4_40-60,50.94,conf_28,-1499.37132299,0.282542,0.02934106,294.851,294.830185
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_01,-1499.37163968,0.052899,0.04319660,294.786,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_02,-1499.37162779,0.060360,0.04265604,294.727,294.811757
22,32,F-3,[5],aromatic,Group5_20-80,41.82,conf_03,-1499.37160729,0.073224,0.04173988,295.155,294.811757
